year7_pct_incorrect,year8_pct_incorrect,year9_pct_incorrect,year10_pct_incorrect,year11_pct_incorrect,overall_pct_incorrect,most_common_wrong_answer,explanation,_n_extracted,QuestionId,replication
85,70,55,40,30,56,D,"The primary misconception is a failure to apply BIDMAS/BODMAS correctly. Students often read the expression from left to right, performing the subtraction before the multiplication: (1 - 3) * 15 = -2 * 15 = -30 (Option D). Additionally, many students struggle with directed numbers; those who do multiply first (3 * 15 = 45) often calculate 45 - 1 = 44 or 1 - 45 = 46 (Option B) due to confusion with negative number arithmetic rules. Year 7 and 8 students frequently haven't mastered the formal 'u_n",6,189,0
85,70,55,40,30,56,C,"The most common error stems from a failure to apply the order of operations (BIDMAS/BODMAS). Students see ""1 - 3n"" and perform the subtraction first: (1 - 3) = -2, then multiply by 15 to get -30 (Option D), or more commonly, they misinterpret the expression entirely by calculating (1 - 3) = -2 and then adding 15, or simply making a sign error in the substitution. However, Option C (-14) is a very frequent distractor because students calculate 1 - 3(15) but process it as (1 - 3) * 15 or they calc",6,189,1
85,70,55,40,30,56,C,"The most common error is a failure to apply the correct Order of Operations (BIDMAS/BODMAS). Students see ""1 - 3n"" and perform the subtraction first: (1 - 3) = -2, then multiply by 15 to get -30 (Option D), or more commonly, they treat the expression as (1 - 3) * 15 which leads to errors, but the specific distractor C (-14) is highly attractive because students calculate 1 - 3(15) but process it as (1 - 3) = -2, then -2 + 15 or similar arithmetic slips. However, Option C specifically targets the",6,189,2
85,65,50,35,25,52,C,"The primary misconception involves a failure to apply BIDMAS/BODMAS correctly. Students often perform the subtraction first (1 - 3 = -2) and then multiply by 15, leading to -30 (Option D). However, the most frequent error in my experience comes from students who calculate 1 - 3(15) but ignore the priority of multiplication entirely or treat the expression as (1 - 3) * 15. More specifically, Option C (-14) is a very common 'distractor' result where students calculate 15 - 1 = 14 and then simply a",6,189,3
85,70,55,40,30,56,D,"The primary misconception here is a failure to apply the correct order of operations (BIDMAS/BODMAS). Students frequently see ""1 - 3n"" and perform the subtraction first: (1 - 3) = -2, then multiply by 15 to get -30 (Option D). Even higher-ability students often fall into this ""left-to-right"" trap when the variable follows a subtraction sign. Additionally, some students struggle with directed numbers; those who do multiply first (3 * 15 = 45) often calculate ""1 - 45"" as -46 (Option B) by incorrec",6,189,4
85,70,55,40,30,56,A,"The most common error is following a 'left-to-right' reading order, leading students to Option A. Many students see '2 ÷ 3' and immediately write it as a fraction, then simply add the remaining terms. They fail to recognise that the parentheses (brackets) dictate that the entire expression (3 + ab) must be the denominator. Furthermore, weaker students often struggle with the 'invisible' multiplication in 'ab' and may be tempted by Option D because it retains the 'x' sign, or Option B if they ove",6,233,0
85,70,55,40,30,56,A,"The most common error is a 'left-to-right' processing bias (Option A), where students treat the division as applying only to the first term of the denominator, failing to recognize that the vinculum in a fraction acts as a grouping symbol for the entire expression inside the parentheses. In Year 7 and 8, many students also struggle with the convention that 'ab' implies multiplication, often looking for a multiplication sign (Option D) or incorrectly attempting to factorise (Option B). By Year 11",6,233,1
85,70,55,40,30,56,A,"The most common error is Option A, driven by a 'left-to-right' reading habit. Many students see '2 ÷ 3' and immediately write it as a fraction, then simply append '+ ab', failing to recognise that the entire expression within the brackets must form the denominator. Additionally, some students choose D because they do not yet fully internalise that the 'hidden' multiplication sign is a formal convention, while others struggle with the commutative property of addition, not realising that 3 + ab is",6,233,2
85,70,55,40,30,56,A,"The most common error is a 'left-to-right' processing bias (Option A), where students treat the division as applying only to the first term (2 ÷ 3) rather than the entire bracketed expression. Students often struggle with the transition from linear arithmetic notation to fractional algebraic notation. Option D is also a frequent 'distractor' for lower-attaining students who recognize the structure but fail to apply the convention of omitting the multiplication sign (×) in algebra.",6,233,3
85,70,55,40,30,56,A,"The most common error is Option A, which stems from a 'left-to-right' processing bias. Students often see '2 ÷ 3' and immediately write it as a fraction (2/3), then append the rest of the expression (+ ab), ignoring the brackets that dictate the '2' must be divided by the entire sum. Even for those who understand the fraction bar acts as a grouping symbol, many struggle with the transition from linear BIDMAS notation to the verticality of algebraic fractions. Option D is also a common 'trap' for",6,233,4
75,65,55,45,35,55,C,"The primary misconception here is the ""Zero doesn't count"" fallacy. Many students believe that because 0 does not add value to the sum, it should not be included in the divisor when calculating the mean. This leads them to choose Option C (dividing by 4). Option B is a common distractor for students who understand the process but fail to apply BIDMAS/Order of Operations, as a calculator would only divide the 7 by 5. Option A is the correct representation of the mean, but many students overlook i",6,254,0
75,65,55,45,35,55,C,"The most pervasive misconception here is that the number zero 'doesn't count' when calculating the mean. Students frequently divide by 4 (Option C) because they only count the non-zero digits, failing to understand that zero is a data point that contributes to the count (n) even if it doesn't change the sum. Additionally, Option B is a common 'calculator error' trap; students who type the sequence into a basic calculator without using brackets or pressing equals before dividing will fall victim ",6,254,1
