qid,predicted_error_rate,actual_error_rate,abs_error,num_estimates,estimate_std,misconception_id,target_type,total_responses
1757,58.1,80.43,22.330000000000005,10,3.806573262134856,1597,conceptual,46
1287,46.9,91.78,44.88,10,2.211334438749598,1214,procedural,73
243,60.3,12.129999999999995,48.17,10,3.195309061734092,1214,procedural,1385
1430,24.4,94.16,69.75999999999999,10,1.2,217,conceptual,462
655,68.2,89.23,21.03,10,2.9257477676655586,1597,conceptual,2136
1728,59.2,94.08,34.879999999999995,10,4.686149805543993,1507,procedural,524
728,52.7,93.55,40.849999999999994,10,2.685144316419511,1507,procedural,93
722,67.0,100.0,33.0,10,3.714835124201342,1214,procedural,47
27,41.6,19.060000000000002,22.54,10,1.2,1597,conceptual,383
38,67.4,91.11,23.709999999999994,10,3.7735924528226414,217,conceptual,90
1561,39.8,92.31,52.510000000000005,10,2.8565713714171403,1214,procedural,130
865,74.1,100.0,25.900000000000006,10,1.9209372712298547,1597,conceptual,80
1195,35.3,88.06,52.760000000000005,10,0.9,1507,procedural,2068
1053,53.1,89.95,36.85,10,2.211334438749598,1597,conceptual,378
1055,47.4,91.32,43.919999999999995,10,2.2891046284519194,217,conceptual,933
644,34.9,100.0,65.1,10,2.808914381037628,1597,conceptual,87
1493,30.2,91.88,61.67999999999999,10,1.8867962264113207,1507,procedural,1822
525,52.8,77.66,24.86,10,3.187475490101846,217,conceptual,1701
695,39.4,84.15,44.75000000000001,10,0.9165151389911679,1507,procedural,1218
202,27.3,12.239999999999995,15.060000000000006,10,2.1,217,conceptual,147
1637,58.5,82.95,24.450000000000003,10,1.5,1214,procedural,88
1767,21.7,57.54,35.84,10,1.676305461424021,1214,procedural,1413
1615,45.7,96.74,51.03999999999999,10,2.491987158875422,1507,procedural,430
1310,33.7,84.99,51.28999999999999,10,2.051828452868319,1507,procedural,693
1385,48.6,23.730000000000004,24.869999999999997,10,3.261901286060018,217,conceptual,295
