weighted_p_incorrect,difficulty_rating,below_basic_p_correct,basic_p_correct,proficient_p_correct,advanced_p_correct,QuestionId,b_2pl
0.5525,,0.25,0.25,0.65,0.9,332,-5.1791
0.7635000000000001,,0.35,0.35,0.1,0.01,1702,-0.4997
0.44600000000000006,,0.35,0.35,0.8,0.96,934,-0.5221
0.4165000000000001,,0.35,0.35,0.9,0.99,1599,-3.3719
0.605,,0.15,0.15,0.65,0.95,306,-0.158
0.4605,,0.3,0.3,0.85,0.98,202,-0.2375
0.4115000000000001,,0.35,0.35,0.92,0.99,644,-0.2617
0.5505,,0.15,0.15,0.85,0.98,1545,-0.2892
0.594,,0.15,0.15,0.7,0.94,1286,0.0618
0.75,,0.3,0.3,0.25,0.05,919,0.034
0.5205,,0.2,0.2,0.85,0.98,888,0.0015
0.5785,,0.15,0.15,0.75,0.96,506,-0.1058
0.49050000000000005,,0.25,0.25,0.85,0.98,1607,0.5037
0.533,,0.2,0.2,0.8,0.98,1383,0.5622
0.567,,0.2,0.2,0.7,0.92,254,0.5976
0.5455,,0.2,0.2,0.75,0.98,689,0.2501
0.569,,0.15,0.15,0.8,0.94,525,0.6233
0.5205,,0.2,0.2,0.85,0.98,38,0.692
0.5795,,0.2,0.2,0.65,0.92,466,0.7156
0.5455,,0.2,0.2,0.75,0.98,1465,0.8347
