weighted_p_incorrect,difficulty_rating,below_basic_p_correct,basic_p_correct,proficient_p_correct,advanced_p_correct,QuestionId,b_2pl
0.4770000000000001,,0.35,0.35,0.7,0.92,332,-5.1791
0.47750000000000004,,0.3,0.3,0.8,0.95,1702,-0.4997
0.44100000000000006,,0.35,0.35,0.82,0.96,934,-0.5221
0.4305,,0.35,0.35,0.85,0.98,1599,-3.3719
0.61,,0.25,0.25,0.45,0.85,306,-0.158
0.363,,0.45,0.45,0.88,0.98,202,-0.2375
0.5,,,,,,644,-0.2617
0.5485,,0.2,0.2,0.75,0.96,1545,-0.2892
0.552,,0.22,0.22,0.7,0.94,1286,0.0618
0.6094999999999999,,0.15,0.15,0.65,0.92,919,0.034
0.511,,0.25,0.25,0.78,0.96,888,0.0015
0.591,,0.15,0.15,0.7,0.96,506,-0.1058
0.567,,0.2,0.2,0.7,0.92,1607,0.5037
0.5625,,0.2,0.2,0.7,0.95,1383,0.5622
0.506,,0.25,0.25,0.8,0.96,254,0.5976
0.534,,0.25,0.25,0.7,0.94,689,0.2501
0.5215,,0.25,0.25,0.75,0.94,525,0.6233
0.5345,,0.2,0.2,0.8,0.97,38,0.692
0.52,,0.25,0.25,0.75,0.95,466,0.7156
0.48850000000000005,,0.3,0.3,0.75,0.96,1465,0.8347
