QuestionId,replication,concept_complexity,procedural_steps,abstraction_level,prerequisite_knowledge,distractor_plausibility,misconception_strength,question_clarity,cognitive_load,age_appropriateness,transfer_distance,visual_complexity,solution_uniqueness,classical_difficulty,irt_difficulty,irt_discrimination,guessing_probability,_extraction_success,_total_tags
27,0,3.0,3.0,4.0,3.0,6.0,7.0,9.0,4.0,9.0,3.0,2.0,6.0,0.3,-0.1,1.3,0.05,16,16
27,1,3.0,4.0,4.0,4.0,7.0,7.0,10.0,4.0,10.0,2.0,2.0,5.0,0.35,0.05,1.2,0.08,16,16
27,2,2.0,3.0,3.0,3.0,6.0,8.0,10.0,3.0,10.0,2.0,2.0,7.0,0.28,-0.15,1.35,0.03,16,16
27,3,3.0,3.0,4.0,4.0,5.0,8.0,9.0,4.0,9.0,3.0,2.0,6.0,0.32,-0.05,1.25,0.06,16,16
27,4,4.0,4.0,4.0,4.0,7.0,8.0,9.0,5.0,9.0,3.0,2.0,7.0,0.38,0.12,1.15,0.04,16,16
38,0,6.0,5.0,7.0,6.0,8.0,8.0,9.0,6.0,8.0,4.0,5.0,7.0,0.52,0.55,1.3,0.15,16,16
38,1,5.0,4.0,7.0,6.0,7.0,9.0,9.0,5.0,9.0,3.0,5.0,8.0,0.48,0.42,1.4,0.12,16,16
38,2,6.0,5.0,6.0,7.0,8.0,8.0,10.0,6.0,8.0,4.0,4.0,7.0,0.55,0.62,1.25,0.18,16,16
38,3,5.0,4.0,7.0,6.0,8.0,9.0,9.0,5.0,8.0,3.0,5.0,8.0,0.46,0.38,1.35,0.1,16,16
38,4,6.0,4.0,6.0,7.0,7.0,8.0,10.0,5.0,9.0,3.0,4.0,7.0,0.43,0.35,1.45,0.08,16,16
119,0,5.0,4.0,5.0,5.0,8.0,8.0,6.0,6.0,9.0,5.0,5.0,7.0,0.53,0.55,1.3,0.15,16,16
119,1,4.0,5.0,4.0,4.0,9.0,8.0,5.0,6.0,9.0,6.0,5.0,8.0,0.5,0.48,1.2,0.18,16,16
