question_id,question_text,correct_answer,target_distractor,misconception_id,misconception_name,misconception_type,human_target_rate,total_responses,pct_A,pct_B,pct_C,pct_D,irt_difficulty,irt_discrimination,irt_guessing,option_A,option_B,option_C,option_D
525,\( 2 \frac{7}{10}+2 \frac{1}{4}= \) Leave your answer as a mixed number,B,C,217,"When adding fractions, adds the numerators and denominators",conceptual,17.58,1701,46.91,22.34,17.58,13.17,0.5224,0.6612,0.1156,\( \frac{99}{20} \),\( 4 \frac{19}{20} \),\( \frac{99}{40} \),\( 4 \frac{8}{14} \)
698,"![Two spinners shown. The first spinner has the numbers 1-4 and the second spinner has the number 1-5.]() You spin the above fair spinners
What is the probability of getting a \( 1 \) on both spinners?",B,C,217,"When adding fractions, adds the numerators and denominators",conceptual,17.27,249,7.23,8.03,17.27,67.47,0.3253,0.9276,0.0,\( \frac{1}{9} \),\( \frac{1}{20} \),\( \frac{2}{9} \),\( \frac{2}{20} \)
789,"Work out:
\(
\frac{3}{10}+\frac{5}{10}
\)
Write your answer in its simplest form.",C,A,217,"When adding fractions, adds the numerators and denominators",conceptual,16.77,155,16.77,36.77,34.84,11.61,0.6323,0.9469,0.0,\( \frac{8}{20} \),\( \frac{8}{10} \),\( \frac{4}{5} \),\( \frac{4}{10} \)
1055,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Fractions 3/5 and 1/4 in two separate circles, both linked to a third circle above.]()",D,A,217,"When adding fractions, adds the numerators and denominators",conceptual,16.4,933,16.4,59.59,15.33,8.68,0.4249,0.6148,0.1918,\( \frac{4}{9} \),\( \frac{4}{20} \),\( \frac{7}{20} \),\( \frac{17}{20} \)
1386,"Write this as a single fraction as simply as possible
\(
\frac{2}{x}+\frac{3}{x}
\)",B,C,217,"When adding fractions, adds the numerators and denominators",conceptual,55.64,133,14.29,8.27,55.64,21.8,0.4436,0.9537,0.0,\( \frac{5 x}{x^{2}} \),\( \frac{5}{x} \),\( \frac{5}{2 x} \),\( \frac{6}{x^{2}} \)
1390,\( \frac{1}{3}+\frac{1}{2} \times \frac{1}{3}= \),A,C,217,"When adding fractions, adds the numerators and denominators",conceptual,28.16,103,47.57,11.65,28.16,12.62,0.5667,0.9465,0.0,\( \frac{1}{2} \),\( \frac{5}{18} \),\( \frac{2}{9} \),\( \frac{1}{15} \)
1430,"Calculate:
\(
\frac{2}{7}+\frac{1}{7}
\)",C,D,217,"When adding fractions, adds the numerators and denominators",conceptual,64.72,462,23.16,6.28,5.84,64.72,0.2679,0.7234,0.3125,\( \frac{2}{7} \),\( \frac{2}{49} \),\( \frac{3}{7} \),\( \frac{3}{14} \)
1526,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Two circles containing the fractions 3/5 and 2/7, both linked to a third circle above]()",B,C,217,"When adding fractions, adds the numerators and denominators",conceptual,17.41,741,58.84,16.46,17.41,7.29,0.4444,0.6073,0.1556,\( \frac{11}{35} \),\( \frac{31}{35} \),\( \frac{5}{12} \),\( \frac{5}{35} \)
189,What is the \( 15 \) th term of this sequence? \( u_{n}=1-3 n \),A,D,1507,Carries out operations from left to right regardless of priority order,procedural,12.86,941,9.46,14.35,63.34,12.86,0.3842,0.6841,0.1753,\( -44 \),\( -46 \),\( -14 \),\( -30 \)
233,"Which answer shows the following calculation using the correct algebraic convention?
\(
2 \div(3+a \times b)
\)",C,A,1507,Carries out operations from left to right regardless of priority order,procedural,76.88,173,76.88,7.51,9.83,5.78,0.2312,0.8962,0.2549,\( \frac{2}{3}+a b \),\( \frac{2}{b(a+3)} \),\( \frac{2}{a b+3} \),\( \frac{2}{a \times b+3} \)
