target_key,target_type,QuestionId,question_text,correct_answer,target_distractor,target_answer,misconception_id,misconception_name,student_selection_pct,total_responses,pct_A,pct_B,pct_C,pct_D,discrimination,difficulty_irt,difficulty,difficulty_pct,human_target_rate
ORDER_OPS,procedural,189,What is the \( 15 \) th term of this sequence? \( u_{n}=1-3 n \),A,D,\( -30 \),1507,Carries out operations from left to right regardless of priority order,12.86,941,9.46,14.35,63.34,12.86,0.6841,0.3842,1,38.42,12.86
ORDER_OPS,procedural,233,"Which answer shows the following calculation using the correct algebraic convention?
\(
2 \div(3+a \times b)
\)",C,A,\( \frac{2}{3}+a b \),1507,Carries out operations from left to right regardless of priority order,76.88,173,76.88,7.51,9.83,5.78,0.8962,0.2312,1,23.119999999999997,76.88
ORDER_OPS,procedural,254,"When calculating the mean of the following numbers which calculation will give the correct answer?
\[
0,1,3,4,7
\]",A,B,\( 0+1+3+4+7 \div 5 \),1507,Carries out operations from left to right regardless of priority order,12.35,688,5.67,12.35,62.06,19.91,0.6669,0.3476,1,34.760000000000005,12.35
ORDER_OPS,procedural,304,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",C,A,\( 1+2 \),1507,Carries out operations from left to right regardless of priority order,11.13,1582,11.13,8.09,72.95,7.84,0.6102,0.2784,1,27.839999999999996,11.13
ORDER_OPS,procedural,306,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",B,A,"Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)",1507,Carries out operations from left to right regardless of priority order,75.62,283,75.62,13.78,1.41,9.19,0.9671,0.2438,1,24.38,75.62
ORDER_OPS,procedural,1032,\( 5+4 \times 3= \),B,A,\( 27 \),1507,Carries out operations from left to right regardless of priority order,32.02,965,32.02,47.67,10.05,10.26,0.6698,0.5253,1,52.53,32.02
ORDER_OPS,procedural,1195,\( 2 \times 3^{2}= \),A,C,\( 36 \),1507,Carries out operations from left to right regardless of priority order,63.73,2068,11.94,17.31,63.73,7.01,0.615,0.351,1,35.099999999999994,63.73
ORDER_OPS,procedural,1229,"What answer would your calculator give if you typed in
\(
-6^{2}
\) ![A scientific calculator]()",D,C,\( 36 \),1507,Carries out operations from left to right regardless of priority order,16.9,142,21.83,20.42,16.9,40.85,0.6467,0.6444,1,64.44,16.9
ORDER_OPS,procedural,1310,"Which calculation should you do first?
\(
((0.5 \div(0.2+0.4)-0.3) \times 0.6)
\)",B,A,\( 0.5 \div 0.2 \),1507,Carries out operations from left to right regardless of priority order,22.37,693,22.37,15.01,14.43,48.2,0.5913,0.5638,1,56.379999999999995,22.37
ORDER_OPS,procedural,1343,\( 12 \div 2+1 \times 2= \),D,C,\( 14 \),1507,Carries out operations from left to right regardless of priority order,55.11,274,2.19,18.25,55.11,24.45,0.6673,0.4286,1,42.86,55.11
